,review,is_bad_review,review_clean,doc2vec_vector_0,doc2vec_vector_1,doc2vec_vector_2,doc2vec_vector_3,doc2vec_vector_4,doc2vec_vector_5,doc2vec_vector_6,doc2vec_vector_7
17854,"We stayed here for - nights to celebrate our anniversary. The hotel upgraded us to a junior suite on the --rd floor overlooking the bay. Needless to say, the room was impressive: great bath amenities, nicely appointed suite, and an impeccable service to match. On our last night, the front desk sent up a bottle of champagne and chocolate-dipped strawberries, very toughtful and a nice touch. The hotel was centrally located, walking distance to restaurants, Chinatown, Fisherman's Wharf, etc. Since the hotel is in the business district, parking is expensive. There is also no pool and wireless internet (cable still available). Overall, this is a great property and staff were quick to help with smiles all around.",0,stayed night celebrate anniversary hotel upgrade junior suite rd floor overlook bay needless say room impressive great bath amenity nicely appoint suite impeccable service match last night front desk send bottle champagne chocolate-dipped strawberry toughtful nice touch hotel centrally locate walk distance restaurant chinatown fisherman's wharf etc since hotel business district parking expensive also pool wireless internet cable still available overall great property staff quick help smile around,0.26306614,0.08428232,-0.16115785,-0.032492783,0.58341897,-0.16140774,0.61811197,0.12522586
24670,"the hotel was nice but VERY noisy room, we were put in a room at the back which had metal stairs right next to the side window next to bed, staff used this and kitchen staff were wheeling big metal trolleys through even at -am in the morning-ridiculous. good location though, would stay around that area if i go back to san fran.",1,hotel nice noisy room put room back metal stair right next side window next bed staff use kitchen staff wheel big metal trolley even morning-ridiculous good location though would stay around area go back san fran,0.077916406,-0.0026889453,-0.0724996,0.0004793354,0.15715437,-0.011694739,0.2462875,0.02622726
26692,"It took me sometime to find the Right place for me when I traveled to NYC and Finally Found it and made it my Home. 
The Stuff is amazing, The rooms are Large and Clean & Comfortable, The location works great for my needs, The GYM is fantastic and so is the Spa, 
I highly recommend this Hotel full heartedly",0,"take sometime find right place travel nyc finally find make home 
the stuff amaze room large clean comfortable location work great need gym fantastic spa 
i highly recommend hotel full heartedly",0.025833772,-0.0008882195,-0.12629099,-0.02560477,0.20301242,-0.02642404,0.2311673,0.007155882
1491,"Although this hotel offers good prices in comparison to other hotels in downtown Philadelphia, the service needs to be improved. During my stay the air conditioning wasn't working properly, having breakfast in the hotel reastaurant took forever and the staff was not very helpful.",1,although hotel offer good price comparison hotel downtown philadelphia service need improved stay air condition work properly breakfast hotel reastaurant take forever staff helpful,0.046169512,-0.028344098,-0.023096677,0.054574676,0.13874315,-0.040347103,0.24739905,0.09073405
24655,"This was a completely enjoyable stay from the moment I walked in to the time I left. Every staff member I encountered was helpful, friendly and knowledgeable, whether I had questions about the property, the neighborhood, or anything else. Great location, too, right in the middle of everything.
The room was large, comfortable and clean, with nice extras like robes in the closet, lighted magnifying mirror in the bathroom and a Keurig brewer for excellent wakeup coffee. Bed was comfy and there was a good choice of TV channels. 
The ONLY negative was that in-room wi-fi was $--.-- a day and use of the computers in the business center was that much for -- minutes. Yikes! But there was free wi-fi in the lobby and the lounge, which offered a comfortable, quiet place (during business hours, anyway) to log in to a web conference using my iPad, so I got my work done anyway.",0,"completely enjoyable stay moment walk time leave every staff member encounter helpful friendly knowledgeable whether question property neighborhood anything else great location right middle everything.
the room large comfortable clean nice extra like robe closet light magnify mirror bathroom keurig brewer excellent wakeup coffee bed comfy good choice tv channel 
the negative in-room wi-fi day use computer business center much minute yikes free wi-fi lobby lounge offer comfortable quiet place business hour anyway log web conference use ipad get work do anyway",0.23357734,0.013659216,-0.28674626,0.0020974416,0.7513435,-0.16146003,0.77261037,0.20196341
2525,"Lobby under construction. I purchased ahead of time a room with sunlight and perhaps a view. I received a room on a light well .. with a broken air conditioner which felt like a tomb. FInally given the """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""only room left"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" - same room only - floors higher. The AC was essential, as one could not open a window, but it was so loud - the sleep quality was poor. Guest brochure in room stated complimentary continental breakfast in the bar. Once seated there at -am , i was told they did not have a continental breakfast and nothing was complimentary. Staff was less than professional. It took - phone calls to get an extra lamp in the room -- lighting was so bad, you could not see in the dark room. Also a housekeeper, brought bags of dirty laundry onto the elevator, rather than waiting for an empty elevator. Location great between Grand Central and Times Square ... but there are lots of hotels in this area. this is a BAD boutique hotel, which should be avoided.",1,lobby construction purchase ahead time room sunlight perhaps view receive room light well broken air conditioner felt like tomb finally give room leave room floor higher ac essential one could open window loud sleep quality poor guest brochure room state complimentary continental breakfast bar seat told continental breakfast nothing complimentary staff less professional take phone call get extra lamp room light bad could see dark room also housekeeper brought bag dirty laundry onto elevator rather wait empty elevator location great grand central time square lots hotel area bad boutique hotel avoid,0.2102079,0.026017083,-0.22723883,0.03144235,0.6233736,-0.17757612,0.6763671,0.13107646
19852,"Sorry this review is long but I am worried my last review of - stars for this hotel is no longer timely.
We have stayed at this hotel before and returned because we loved it the last time. I booked my stay with an Omni gift certificate that I bought at a silent auction. After a few unreturned phone calls to various staff, I was told I could not pay to upgrade to one of their breakfast packages (those are a better deal). OK-no big deal-Just thought I would ask since we enjoyed the restaurant last time for breakfast each morning. (We are gold Starwood members and are accustomed to free breakfast in their club lounges. Hilton always gives us coupons for free breakfast too. Omni does free room service juice-coffee for its members but with kids it is hard to beat free continental breakfast in a club lounge.)
We arrived on Saturday night and checked in without incident. Our room was as lovely as last time. The big windows are very cool and the staff put us on the top floor where the view is great and the street noise is lessened-very nice.
Sunday am found us at the pool. We enjoy their pool on the roof of the -rd floor. It is such a nice place in the middle of downtown. We did notice all the kids had backpacks filled with toys. My kids kept asking why we didn’t get one. I don’t know? When we left the hotel for the day, we stopped by and asked at the front desk. OH, you didn’t receive one? They gave us some and a coupon for free kids meal (but only from -:-- to -:--) at the pool grill. We went out for the day, but promised the kids we would be back for hot dogs by the pool. We enjoyed the new Fort Woth Science Museum and IMAX (always - star) and had lunch at Fred’s (cute diner near downtown but not worth the Sunday brunch wait this time). We left the museum at -:-- and rushed back to the hotel for hot dogs. Wow, what a chore. My husband spent ----- minutes standing by the bar at the pool (and it is still hot in Sept in TX and there were no chairs) waiting on this one poor boy to make the kids meals. Then they ran out of chips and you had to stand in another line to get a drink he said. Not worth the effort at all. Plus it was so windy, we quickly lost one drink to the wind. I tried to get a refill but gave up after waiting for -- minutes at the bar. Why were they not prepared for all these kids? If you are going to pass out coupons for something easy like hot dogs for a - hour window, then grill up some hot dogs and buy some chips and pre-pour several Sprites. ANY mom who has organized a birthday party for -- kids knows how to do that. Don’t expect this one poor boy to do all of that himself. He looked like he was about to pull his hair out. The idea was good but the execution was poor and frustrating to everyone waiting. (We experienced a similar long wait the last time we ate at the pool grill but we were told it was just the Memorial Day crowd. This time, it was a holiday but there wasn’t really a crowd at all-several empty tables at -:-- pm.)
Our kids enjoyed the kids club next. They convert a large meeting room into a play area on the weekends during summer. They had a movie playing and a bounce house was new this time. The kids loved that. But hardly any kids were in there? I don’t think anyone knows about it.
The next morning I was awakened by my husband asking me what I wanted to do about my shoes. What are you talking about???? It turned out that before - am someone called our room (on Labor Day which is a US holiday and I was hoping to sleep in) to tell me that my shoes that I put out for a shoe shine at - pm on Sat (-- hours earlier) couldn’t be done unless they put white polish on my bone colored shoes. They wanted to know if I wanted them to use the wrong color? (Of course not.) I told them just to return the shoes. Great. Now I am wide awake and one of the kids is awake. Who calls a hotel room to wake up people regarding shoes by - am on a holiday? Crazy. Then they didn’t return my shoes as I asked. When I was in the kids club -.- hours later, I mentioned to the kids that we had to leave to go find my shoes that had been missing. A nice female employee offered to go find them for me. A bellman type man returned later with my shoes. (Why didn’t they timely put the shoe bag on my door with a nice note explaining they are out of polish—no big deal.)
When we checked out I mentioned to the front staff I did not appreciate the pre- -am phone call. A management-looking man stepped up and took full credit for calling me. (He seemed very proud of it for some crazy reason.) I appreciated the honesty (his Mom would be very proud) but explained I was trying to sleep in (which is priceless for working moms and which is part of why people check into hotels to not wake up at the normal time for school-work). He never apologized; he still though calling before - am was great customer service. I thought by politely telling him I disapproved he might not wake up any other poor mom on a holiday? I hope so. I do know I was looking at a sheet of paper with some notes on it when I was talking to him. He asked me for the paper. I told him it was just notes but I gave it to him thinking maybe someone would contact us later? It has been over a month now and no one has ever called. So now I am starting to wonder if maybe he wanted to keep the paper so no one else saw it? Who knows. Perhaps he doesn't have kids or a wife so he is clueless about my concern?
We had another issue regarding room service being an hour late (we called them to ask if they were coming at all and they didn’t seem to know about our order we hung on our door the night before) but they resolved the issue by taking $-.-- off the bill after the I explained the waiter told me the tip was not included (so I tipped him) and it was actually included. I would tell you not to order the $- croissants off the room service menu. I actually took a picture of one of them since it was barely larger than a sugar packet. It was almost a joke to my hungry kids. But it really didn’t matter since they were so stale-chewy that the kids would not even eat them.
We really like this hotel for several reasons (new, great pool and centrally located to all the activities in Fort Worth) and we will probably will go back but I was just disappointed by the service this time. Over --% of the time we asked them to do something (other than provide a room), staff did not execute well. They have a great free kids club but they don’t advertise it. Other hotels give you a schedule of events when you check in so you can plan accordingly. (I mentioned this when we checked out and was told there was a schedule in the backpack. We looked (thinking we must have missed it) but neither backpack included a schedule.) This hotel is just so so close to being really great. We hope on our next visit they will have these kinks worked out. We enjoy Omni’s a lot and the price at this one is very reasonable for a weekend getaway. We are hoping it was just an off weekend for them. Lots of North Texas area families would love this hotel for a staycation if they can work out the kinks. It takes first rate service to make guests want to come back. A pretty new hotel is not enough.",1,"sorry review long worry last review star hotel longer timely.
we stayed hotel return love last time book stay omni gift certificate buy silent auction unreturned phone call various staff tell could pay upgrade one breakfast package well deal ok-no big deal-just thought would ask since enjoy restaurant last time breakfast morning gold starwood member accustom free breakfast club lounge hilton always give coupon free breakfast omni free room service juice-coffee member kid hard beat free continental breakfast club lounge.)
we arrive saturday night check without incident room lovely last time big window cool staff put top floor view great street noise lessened-very nice.
sunday find pool enjoy pool roof rd floor nice place middle downtown notice kid backpack fill toys kid keep ask didn’t get one don’t know left hotel day stop ask front desk oh didn’t receive one give coupon free kid meal pool grill go day promise kid would back hot dog pool enjoy new fort woth science museum imax always star lunch fred’s cute diner near downtown worth sunday brunch wait time leave museum rush back hotel hot dog wow chore husband spent minute stand bar pool still hot sept tx chair wait one poor boy make kid meal run chip stand another line get drink say worth effort plus windy quickly lose one drink wind try get refill give wait minute bar prepared kid go pas coupon something easy like hot dog hour window grill hot dog buy chip pre-pour several sprite mom organize birthday party kid know don’t expect one poor boy look like pull hair idea good execution poor frustrate everyone wait experience similar long wait last time ate pool grill tell memorial day crowd time holiday wasn’t really crowd all-several empty table pm.)
our kid enjoy kid club next convert large meeting room play area weekend summer movie play bounce house new time kid love hardly kid don’t think anyone know it.
the next morning awaken husband ask want shoe talk turn someone call room labor day holiday hop sleep tell shoe put shoe shine pm sit hour earlier couldn’t do unless put white polish bone color shoe want know want use wrong color course tell return shoe great wide awake one kid awake call hotel room wake people regard shoe holiday crazy didn’t return shoe ask kid club hour later mention kid leave go find shoes miss nice female employee offer go find bellman type man return later shoe didn’t timely put shoe bag door nice note explain polish—no big deal.)
when check mentioned front staff appreciate pre phone call management-looking man step take full credit call seem proud crazy reason appreciate honesty mom would proud explain try sleep priceless work mom part people check hotel wake normal time school-work never apologize still though call great customer service think politely tell disapprove might wake poor mom holiday hope know look sheet paper note talk ask paper tell note give think maybe someone would contact later month one ever call start wonder maybe want keep paper one else saw know perhaps kid wife clueless concern?
we another issue regard room service hour late call ask come didn’t seem know order hung door night resolve issue take bill explain waiter told tip include tip actually include would tell order croissant room service menu actually take picture one since barely large sugar packet almost joke hungry kid really didn’t matter since stale-chewy kid would even eat them.
we really like hotel several reason new great pool centrally locate activity fort worth probably go back disappointed service time time ask something provide room staff execute well great free kid club don’t advertise hotel give schedule event check plan accordingly mention checked told schedule backpack look think must miss neither backpack include schedule hotel close really great hope next visit kink work enjoy omni’s lot price one reasonable weekend getaway hop weekend lot north texas area family would love hotel staycation work kink take first rate service make guest want come back pretty new hotel enough",1.019508,0.05241352,-0.86714625,-0.12778358,2.5469604,-0.69555825,2.3993487,0.49657524
26044,"Returned to the Argonaut with my family. - adults and - teenagers. Arrived at --am, rooms were not ready, so we stored our luggage. I figured as much and had bought our Alcatraz tickets online, when we returned our rooms were ready. Booked two connecting rooms. One bedroom was a King room, the other a - queen room. We asked for a rollaway. FYI: was told that the rollaway was allowed in the King room, but not the two queen room. Loved the Aveda bathroom amenities. Kids loved being close to the wharf area. Had a good breakfast in the hotel restaurant, and enjoyed the wine reception on one night. Last night of our - night stay, the hotel fire alarm went off around --am, very confusing, no one was sure what to do. We evacuated the hotel, and were allowed back inside after an inspection by local firemen. It was a little scary, and the hotel staff never did offer an explanation. Overall, I like this hotel for its location and friendly bellman and staff.",0,return argonaut family adult teenager arrive room ready stored luggage figure much buy alcatraz ticket online return room ready book two connect room one bedroom king room queen room ask rollaway fyi tell rollaway allow king room two queen room love aveda bathroom amenity kid love close wharf area good breakfast hotel restaurant enjoy wine reception one night last night night stay hotel fire alarm go around confuse one sure evacuate hotel allow back inside inspection local fireman little scary hotel staff never offer explanation overall like hotel location friendly bellman staff,0.27903223,0.04364168,-0.22334549,-0.029954208,0.8065973,-0.23533067,0.7383588,0.07646058
20417,"The staff were no help at all. Talk about customer NO service. Everything I asked about, they refferred me to the hotel accross the street. The room was very poor and not clean. Hair in the bathroom sink. A-C was very noisy making sleep difficult. I had reservations for - nights but checked out after the first night.",1,staff help talk customer service everything ask refferred hotel accross street room poor clean hair bathroom sink a-c noisy make sleep difficult reservation night check first night,0.09668487,-0.026721183,-0.12593414,0.032463927,0.21792375,-0.020373005,0.19532585,0.09097642
25231,"I checked in late, around -pm on a dark, rainy night. Valet was right there and check it was a breeze. Someone else escorted us up to our room with our bags and offered us anything we needed or wanted, including to even go to the ---- for us if we needed anything! Super friendly staff.
Room was very nice, got the new sleepnumber bed. Ordered room service that night as it was late and the crab cakes were among the best I've had (even in Maryland) and was prompt, nice staff again. 
Location was perfect just by St. Charles Ave walkable to everything in town. If you're too close to the harbour you're away from a lot. This hotel is in the middle of downtown (- blocks, - minute walk from the harbor) and therefore close to everything.
The buffet breakfast was delicious too.
Just a note, the aquarium is great to spend a couple of hours. I've been to many Radissons and this has to be among or is the best. The staff and the hotel and it's location made my stay!",0,"check late around pm dark rainy night valet right check breeze someone else escort room bag offer anything need want include even go need anything super friendly staff.
room nice get new sleepnumber bed order room service night late crab cake among best i've even maryland prompt nice staff 
location perfect st charles ave walkable everything town close harbour away lot hotel middle downtown block minute walk harbor therefore close everything.
the buffet breakfast delicious too.
just note aquarium great spend couple hour i've many radissons among best staff hotel location make stay",0.40221557,0.0749427,-0.3102618,-0.05484058,0.8088419,-0.1969357,0.8688297,0.20698874
